이름,한자명,영문명칭,음/양력,생년월일,정당명,선거구,재선,당선,성별,전화번호,사무실 호실,이메일,홈페이지,보좌관,비서관,비서
김주영,金周暎,KIM JUYOUNG,양,1961-10-15,더불어민주당,경기 김포시갑,초선,제21대,남,02-784-5260,의원회관 520호,gimpolovekjy@gmail.com,,"이경호, 이은영","이황재, 홍수정","이장희, 한호, 김석태, 권기영, 홍수민"
진성준,陳聲準,JIN SUNGJOON,음,1967-04-19,더불어민주당,서울 강서구을,재선,"제19대, 제21대",남,02-784-5725,의원회관 741호,hotjjoon@gmail.com,https://blog.naver.com/theminjoohotjjoon,"김승현, 오정훈","박계홍, 홍인숙","김광운, 신보용, 이웅재, 이정현, 김은비"
박상혁,朴商赫,PARK SANGHYUK,음,1973-03-20,더불어민주당,경기 김포시을,초선,제21대,남,02-784-2417~9,의원회관 817호,gimpo_park@naver.com,,"손현우, 송봉빈","송동민, 장윤순","이교영, 박현규, 안진성, 오성환, 김기윤"
오영환,吳永煥,OH YEONGHWAN,음,1988-02-10,더불어민주당,경기 의정부시갑,초선,제21대,남,02-6788-6766,의원회관 1021호,119heartsaver@naver.com,https://blog.naver.com/119heartsaver,"이윤근, 최환","김현모, 임주연","임정민, 정수미, 김혁수, 정진호, 이우종"
김영식,金英植,KIM YEUNGSHIK,양,1959-07-18,국민의힘,경북 구미시을,초선,제21대,남,,의원회관 716호,,,"김지관, 진성오","김성은, 박승용","이수산, 김영민, 정지원, 강윤경, 박민경"
안병길,安炳吉,AN BYUNGGIL,음,1962-02-02,국민의힘,부산 서구동구,초선,제21대,남,,의원회관 528호,,,"임성재, 홍춘호","강민규, 김영해","오한나, 최원녕, 진유정, 권기림, 이용운"
허은아,許垠娥,HER EUNA,음,1972-05-26,국민의힘,비례대표,초선,제21대,여,,의원회관 327호,,,"신승준, 이승환","이용일, 홍윤호","박영준, 서영지, 박준영, 한아름, 강보람"
박대수,朴大壽,PARK DAESOO,양,1960-08-30,국민의힘,비례대표,초선,제21대,남,,의원회관 622호,,,"박현영, 한길완","윤창혁, 윤태식","최미아, 한상훈, 강효나, 김영춘, 권세현"
김희국,金熙國,KIM HEEKUK,음,1958-10-20,국민의힘,경북 군위군의성군청송군영덕군,재선,"제19대, 제21대",남,,의원회관 713호,,,"권태윤, 최승환","김동우, 오장택","조하나, 신영규, 김세림, 이가영"
허영,許榮,HUH YOUNG,음,1970-03-29,더불어민주당,강원 춘천시철원군화천군양구군갑,초선,제21대,남,02-784-1840~2,의원회관 835호,successhuh@gmail.com,http://withyoung.com,"김명진, 김산","고건민, 윤철우","윤정규, 구윤아, 탁기열, 김미나, 박용훈"
윤미향,尹美香,YOUN MEEHYANG,음,1965-02-10,더불어민주당,비례대표,초선,제21대,여,,의원회관 530호,,,"김준하, 조정훈","안선미, 황경의","오선희, 하수철, 유수진, 김은별, 이혜진"
정청래,鄭淸來,JUNG CHUNGRAE,음,1965-04-18,더불어민주당,서울 마포구을,3선,"제17대, 제19대, 제21대",남,,의원회관 449호,,,"송지원, 윤혜연","김수경, 장영준","이정아, 오나윤, 안준모, 박세경, 박지수"
홍석준,洪碩晙,HONG SUKJOON,음,1966-05-17,국민의힘,대구 달서구갑,초선,제21대,남,,의원회관 634호,,,"백병환, 장진영","박병순, 조조한","김재도, 김샛별, 조성우, 이지영, 김치종"
박진,朴振,PARK JIN,음,1956-09-16,국민의힘,서울 강남구을,4선,"제16대, 제17대, 제18대, 제21대",남,,의원회관 846호,,,"김길성, 김우식","윤석민, 이창훈","박민영, 이준희, 이대우, 남보라, 김현정"
정태호,鄭泰浩,JUNG TAEHO,음,1963-03-20,더불어민주당,서울 관악구을,초선,제21대,남,,의원회관 422호,,,"가민경, 고봉준","정선인, 한광섭","김진, 조제윤, 임화영, 안재경, 양준호"
신영대,申榮大,SHIN YEONGDAE,음,1968-01-15,더불어민주당,전북 군산시,초선,제21대,남,02-784-1524,의원회관 610호,syd@assembly.go.kr,https://blog.naver.com/shinyd85,"권민철, 정진웅","심권택, 하동욱","오현숙, 최은선, 김보현, 김경훈, 윤혜인"
최춘식,崔春植,CHOI CHUNSIK,양,1956-03-14,국민의힘,경기 포천시가평군,초선,제21대,남,,의원회관 619호,,,"김병수, 박환찬","이정세, 한광식","안태훈, 박현규, 하명화, 박찬택, 김다연"
김형동,金亨東,KIM HYUNGDONG,음,1975-03-25,국민의힘,경북 안동시예천군,초선,제21대,남,,의원회관 1016호,,,"권백신, 박균","권순구, 신종대","남수용, 김미숙, 안문희, 심태현, 이화원"
김태호,金台鎬,KIM TAEHO,음,1962-08-21,국민의힘,경남 산청군함양군거창군합천군,3선,"제18대, 제19대, 제21대",남,02-784-0896~7,의원회관 907호,taehoshgh@naver.com,,"권정욱, 최기봉","김경수, 김영조","최장현, 박수현, 박찬호, 김정민, 천선아"
서동용,徐東榕,SEO DONGYONG,양,1964-09-02,더불어민주당,전남 순천시광양시곡성군구례군을,초선,제21대,남,,의원회관 321호,,,"김정태, 홍기돈","김보람, 양승준","박광호, 이필기, 장승빈, 이동원, 이다경"
김희곤,金熙坤,KIM HEEGON,양,1964-12-17,국민의힘,부산 동래구,초선,제21대,남,02-784-6346,의원회관 623호,caesar1217@assembly.go.kr,,"임병국, 진명구","송우현, 장지원","신한섭, 김진만, 채지훈, 남욱현, 윤태건"
정동만,鄭東萬,JEONG DONGMAN,음,1965-07-18,국민의힘,부산 기장군,초선,제21대,남,02-784-8071,의원회관 432호,dongmanjeong432@gmail.com,http://blog.naver.com/dongbu1538,"김승원, 김정우","유재영, 이후석","임이랑, 안영진, 최시은, 이수원, 김민정"
황운하,黃雲夏,HWANG UNHA,음,1962-09-10,더불어민주당,대전 중구,초선,제21대,남,02-784-1935,의원회관 416호,unhah0301@gmail.com,,"박승규, 방인호","유혜정, 장진섭","최형준, 홍승경, 심준석, 정윤주, 김윤정"
임호선,林昊宣,LIM HOSEON,음,1964-09-27,더불어민주당,충북 증평군진천군음성군,초선,제21대,남,02-784-1730,의원회관 429호,limhoseon2020@naver.com,http://blog.naver.com/propol21,"양현모, 이규연","박미래, 최석오","김다나, 고영훈, 연홍율, 김지영, 김준성"
정희용,鄭熙溶,JUNG HEEYONG,음,1976-10-01,국민의힘,경북 고령군성주군칠곡군,초선,제21대,남,,의원회관 436호,,,"이학주, 장기정","이명옥, 최우영","최수영, 이흥진, 이지윤, 임승균, 안재현"
윤건영,尹建永,YOUN KUNYOUNG,양,1969-09-26,더불어민주당,서울 구로구을,초선,제21대,남,,의원회관 727호,,,"여정민, 최일곤","서한우, 안본아","전성건, 김민주, 김충일, 강은구, 안두환"
최종윤,崔鍾允,CHOI JONGYOON,음,1966-02-27,더불어민주당,경기 하남시,초선,제21대,남,02-784-6201,의원회관 809호,cjyjjw@naver.com,https://blog.naver.com/cjyjjw,한웅희,"노영주, 전지훈","이혜림, 박정훈, 김태형, 추지수, 정준호"
이원택,李源澤,LEE WONTAEG,음,1970-01-25,더불어민주당,전북 김제시부안군,초선,제21대,남,02-6788-7031,의원회관 523호,we1taeg@daum.net,,"이창무, 이해규","김재훈, 이기언","이은석, 권순영, 김동우, 박경, 박성훈"
윤준병,尹準炳,YOON JOONBYEONG,음,1961-03-03,더불어민주당,전북 정읍시고창군,초선,제21대,남,02-784-1860,의원회관 522호,yjb870053@naver.com,http://theminjb.com/,박성수,"박정호, 양창모","유현철, 이찬, 신기철, 한성경, 백은선"
이용선,李庸瑄,LEE YONGSUN,음,1958-02-12,더불어민주당,서울 양천구을,초선,제21대,남,02-784-7727,의원회관 931호,yslee9282@naver.com,http://blog.naver.com/2020yslee,"김종길, 장현명","곽병관, 문요셉","최고다, 김대현, 이은지, 김남기, 박정후"
장제원,張濟元,CHANG JEWON,음,1967-04-13,국민의힘,부산 사상구,3선,"제18대, 제20대, 제21대",남,02-784-3851,의원회관 607호,jfirst607@naver.com ,http://blog.jfirst21.com,"김민수, 최순영","박종보, 안은전","김현준, 이대훈, 이예슬, 조혜아, 장우진"
김진표,金振杓,KIM JINPYO,양,1947-05-04,더불어민주당,경기 수원시무,5선,"제17대, 제18대, 제19대, 제20대, 제21대",남,02-784-3807,의원회관 744호,,,"이병진, 조기훈","김선회, 이현진","홍승화, 장영신, 김보경, 최은정, 오재호"
김종민,金鐘民,KIM JONGMIN,음,1964-05-12,더불어민주당,충남 논산시계룡시금산군,재선,"제20대, 제21대",남,02-784-5920,의원회관 508호,withmin413@gmail.com,,"정운몽, 홍성신","박용규, 박철훈","김봉성, 황규현, 김진희, 김수민, 신하은"
소병철,蘇秉哲,SO BYUNGCHUL,음,1958-02-15,더불어민주당,전남 순천시광양시곡성군구례군갑,초선,제21대,남,02-784-4410,의원회관 928호,sbcpr21@gmail.com,,"김진남, 이정원",이서진,"박하린, 마은표, 정광현, 하미라, 강문수"
이은주,李恩周,LEE EUNJU,음,1969-09-02,정의당,비례대표,초선,제21대,여,02-784-5601,의원회관 515호,515.lee.ej@gmail.com,,"김성희, 박선민","배혜정, 이승환","김형근, 김보미, 이다예, 이남수, 박경민"
백종헌,白宗憲,BAEK JONGHEAN,음,1962-12-23,국민의힘,부산 금정구,초선,제21대,남,02-784-3977,의원회관 438호,bjh438@naver.com,,"김영상, 박재오","서차관, 이범희","김도형, 박수향, 이재준, 정강현, 백다윤"
이용,李鏞,LEE YONG,음,1978-06-23,국민의힘,비례대표,초선,제21대,남,02-784-5076,의원회관 338호,yonglee0623@naver.com,https://blog.naver.com/yonglee0623,"김상조, 문승현","곽재욱, 조재한","김군나, 이정민, 사정아, 최하빈, 이윤석"
김선교,金善敎,KIM SUNGYO,음,1960-09-18,국민의힘,경기 여주시양평군,초선,제21대,남,02-784-4195,의원회관 934호,kimsg5358@naver.com,,"추대동, 홍순기",박하나,"손현덕, 박인선, 경은아, 박대한, 이선규"
허종식,許琮植,HEO JONGSIK,음,1962-02-08,더불어민주당,인천 동구미추홀구갑,초선,제21대,남,02-784-8870,의원회관 413호,jongsyy@naver.com,https://blog.naver.com/jongsyy,"김창문, 이수현","김선욱, 정락재","이찬석, 손정애, 장순이, 이현민, 이혜민"
배준영,裵俊英,BAE JUNEYOUNG,음,1970-10-21,국민의힘,인천 중구강화군옹진군,초선,제21대,남,,의원회관 829호,,,"박종효, 유원종","박병일, 차형일","김고은, 오세준, 이소림, 김준영, 장경석"
한기호,韓起鎬,HAN KIHO,양,1952-08-13,국민의힘,강원 춘천시철원군화천군양구군을,3선,"제18대, 제19대, 제21대",남,,의원회관 908호,,,"김민찬, 조재숙","김윤태, 김지혜","여운준, 정찬, 정다와, 김상근"
박성준,朴省俊,PARK SUNGJOON,음,1969-04-23,더불어민주당,서울 중구성동구을,초선,제21대,남,02-784-8430,의원회관 324호,pksjoffice@naver.com,https://blog.naver.com/pksjoffice,"고수석, 한현규","고우영, 이재민","양원선, 박상욱, 김형준, 황신희, 박민정"
정찬민,鄭燦敏,JUNG CHANMIN,양,1958-05-16,국민의힘,경기 용인시갑,초선,제21대,남,02-784-2316~8,의원회관 621호,jungchanmin@naver.com,,,,
양이원영,梁李媛瑛,YANG YIWONYOUNG,음,1971-05-14,더불어민주당,비례대표,초선,제21대,여,02-784-8834~6,의원회관 502호,yangyi.assembly@gmail.com,http://www.yangyi.kr,"임도균, 최완","오경석, 이희춘","박진영, 윤다진, 신지수"
김경협,金炅俠,KIM KYUNGHYUP,양,1962-11-07,더불어민주당,경기 부천시갑,3선,"제19대, 제20대, 제21대",남,02-784-1190,의원회관 813호,ggh000@naver.com,http://www.kimgh.com,"김민주, 봉재현","김동욱, 정공진","이선희, 박희진, 임미소, 윤태욱, 조혜령"
서영교,徐瑛敎,SEO YOUNGKYO,양,1964-11-11,더불어민주당,서울 중랑구갑,3선,"제19대, 제20대, 제21대",여,02-784-8490,의원회관 718호,youngkyos@naver.com,http://blog.naver.com/youngkyos,"문경희, 정재헌","안재형, 이종용","김은희, 임규호, 노수빈, 김지은"
권인숙,權仁淑,KWON INSOOK,음,1964-08-28,더불어민주당,비례대표,초선,제21대,여,02-784-9241,의원회관 317호,iskwon317@naver.com,https://blog.naver.com/iskwon317,"이윤상, 황윤정","이경민, 한지영","김혜원, 전동명, 국서림, 최주헌, 조은재"
박홍근,朴洪根,PARK HONGKEUN,양,1969-10-08,더불어민주당,서울 중랑구을,3선,"제19대, 제20대, 제21대",남,02-784-8370,의원회관 641호,maumgil88@gmail.com,http://blog.naver.com/bakhonggeun,"김동영, 장석원","나바다, 박승진","고강섭, 최광원, 채정임, 김주현, 허선경"
김성환,金星煥,KIM SUNGWHAN,음,1965-10-15,더불어민주당,서울 노원구병,재선,"제20대, 제21대",남,02-784-6271,의원회관 614호,kimnowongu@gmail.com,https://blog.naver.com/human-nowon,"이규철, 이진우","김용정, 서학선","정재삼, 주영광, 김지선, 공경남, 방정환"
맹성규,孟聖奎,MAENG SUNGKYU,음,1962-04-05,더불어민주당,인천 남동구갑,재선,"제20대, 제21대",남,"02-784-6181, 032-466-9100",의원회관 926호,minjoomsk@naver.com,https://blog.naver.com/minjoo_maeng,"신지혜, 조은별","엄소영, 이귀성","이광훈, 송지영, 김현주, 안형균, 권나영"
송갑석,宋甲錫,SONG GABSEOK,음,1966-10-10,더불어민주당,광주 서구갑,재선,"제20대, 제21대",남,02-784-5750,의원회관 1020호,kssong800518@daum.net,https://blog.naver.com/kssong3928,유영용,"박현숙, 신윤수","박범준, 박광근, 안민우, 김은민, 윤희상"
송언석,宋彦錫,SONG EONSEOG,음,1963-05-16,무소속,경북 김천시,재선,"제20대, 제21대",남,02-784-3011,의원회관 427호,,,"박찬윤, 양창열","김광수, 황현성","최상준, 백승호, 김윤희, 신용제, 조현규"
이개호,李介昊,LEE KAIHO,음,1959-06-23,더불어민주당,전남 담양군함평군영광군장성군,3선,"제19대, 제20대, 제21대",남,02-784-2165,의원회관 719호,7880291@naver.com,http://blog.naver.com/lgh59623,"이영규, 황인기","박일남, 송진원","정고운, 곽세문, 조용주, 이지원"
이종배,李鍾培,LEE JONGBAE,음,1957-05-30,국민의힘,충북 충주시,3선,"제19대, 제20대, 제21대",남,02-784-4131~3,의원회관 913호,victoryljb@naver.com,,"김성훈, 임순묵","김영진, 장민호","김교범, 이지영, 이미향, 김주현, 장채원"
강민국,姜旻局,KANG MINKUK,음,1971-03-03,국민의힘,경남 진주시을,초선,제21대,남,02-784-0797,의원회관 1007호,strongwind01@naver.com,,"강민승, 박진우","신우성, 오경훈","성환종, 이승연, 김오주, 이현우, 한지은"
유의동,兪義東,YU EUIDONG,음,1971-06-23,국민의힘,경기 평택시을,3선,"제19대, 제20대, 제21대",남,02-784-7351,의원회관 947호,ptopen730@naver.com,http://yueuidong.com,"이윤재, 이은석","윤나영, 조병수","이민지, 김일권, 송민규, 신지수"
박광온,朴洸瑥,PARK KWANGON,양,1957-03-26,더불어민주당,경기 수원시정,3선,"제19대, 제20대, 제21대",남,02-784-5364,의원회관 533호,sotong533@gmail.com,http://blog.naver.com/kopark2012,"이용국, 이한돌","신청수, 홍순웅","차진완, 오영하, 한소진, 권영근, 최서연"
권은희,權垠希,KWON EUNHEE,음,1974-02-15,국민의당,비례대표,3선,"제19대, 제20대, 제21대",여,02-784-1813,의원회관 904호,kwoneunhee0215@gmail.com,http://keh.kr,"곽복률, 김주연","김상웅, 장철원","남보라, 고선주, 김단아"
권영세,權寧世,KWON YOUNGSE,양,1959-02-24,국민의힘,서울 용산구,4선,"제16대, 제17대, 제18대, 제21대",남,02-784-3103,의원회관 450호,yskys2020@naver.com,https://blog.naver.com/yskys2020,"배기석, 이동빈","민선홍, 이효진","김인규, 김용종, 이수지, 김은총, 박준영"
이병훈,李炳勳,LEE BYUNGHOON,음,1957-03-18,더불어민주당,광주 동구남구을,초선,제21대,남,02-784-6443,의원회관 443호,lbh0318@hanmail.net,https://blog.naver.com/leebh0318,"강원, 김홍일","김진성, 이승환","김재식, 김태범, 최은지, 조재욱, 김의혁"
최기상,崔基相,CHOI KISANG,양,1969-10-07,더불어민주당,서울 금천구,초선,제21대,남,02-784-4990,의원회관 733호,choiwakeup@gmail.com,http://blog.naver.com/gisang2020,"김성준, 정우윤","김경은, 이주환","박수환, 도병두, 강경희, 손하은, 정재준"
이낙연,李洛淵,LEE NAKYON,양,1952-12-20,더불어민주당,서울 종로구,5선,"제16대, 제17대, 제18대, 제19대, 제21대",남,02-784-3866,의원회관 746호,nyleetogether@gmail.com,,"노창훈, 이제이","김대경, 하정철","김효섭, 염시진, 이상민, 장윤수, 윤상윤"
박형수,朴亨修,PARK HYEUNGSOO,음,1965-10-20,국민의힘,경북 영주시영양군봉화군울진군,초선,제21대,남,02-784-4165,의원회관 1018호,7844165@naver.com,,"김상현, 박민구","강신호, 주동근","장서현, 김진환, 이강희, 강인구, 조근애"
양기대,梁基大,YANG KIDAE,양,1962-10-12,더불어민주당,경기 광명시을,초선,제21대,남,02-784-6195,의원회관 418호,8746195@gmail.com,https://blog.naver.com/kdyang62,"박상현, 유종상","이화중, 최병민","정혜아, 김기홍, 유진, 김경태, 최지현"
박덕흠,朴德欽,PARK DUKHYUM,음,1953-10-18,무소속,충북 보은군옥천군영동군괴산군,3선,"제19대, 제20대, 제21대",남,02-784-6550,의원회관 604호,parkdukhyum@naver.com,,"김필수, 전상인","유대종, 이태훈","정서영, 최윤희, 이동구, 오세현, 송혜민"
박대출,朴大出,PARK DAECHUL,음,1961-03-18,국민의힘,경남 진주시갑,3선,"제19대, 제20대, 제21대",남,02-784-6750,의원회관 802호,dcparkjj@assembly.go.kr,http://blog.naver.com/dcparkjj,"김성욱, 최두식","박선후, 정진효","황은수, 황승호, 김세아, 심효은, 김윤재"
민홍철,閔洪喆,MIN HONGCHUL,양,1961-04-18,더불어민주당,경남 김해시갑,3선,"제19대, 제20대, 제21대",남,02-784-6490,본청 421호(국방위원장실)/ 의원회관 554호,,http://www.민사랑.com/,"김대승, 오연달","김종화, 한주연","이상헌, 임주성, 이상훈, 류주연"
도종환,都鍾煥,DO JONGHWAN,음,1955-09-27,더불어민주당,충북 청주시흥덕구,3선,"제19대, 제20대, 제21대",남,02-784-2537,의원회관 333호,djhpoem@assembly.go.kr,http://blog.naver.com/djhpoem,"천준호, 홍수진","나채선, 이대건","송경화, 남상문, 이기훈, 정찬재, 송소연"
남인순,南仁順,NAM INSOON,양,1958-11-05,더불어민주당,서울 송파구병,3선,"제19대, 제20대, 제21대",여,02-784-5980,의원회관 748호,nisoon@na.go.kr,http://blog.naver.com/nisoon,"김봉겸, 김은경","김영지, 김평수","강성현, 김잔디, 이하나, 남민경, 정다인"
김상훈,金相勳,KIM SANGHOON,음,1963-01-25,국민의힘,대구 서구,3선,"제19대, 제20대, 제21대",남,02-784-2310,의원회관 944호,kshdg11@gmail.com,http://kimsh.or.kr,"채희춘, 홍지웅","안치욱, 오효택","서민정, 신지홍, 김민영, 김서진, 노하은"
천준호,千俊鎬,CHEON JUNHO,음,1971-02-15,더불어민주당,서울 강북구갑,초선,제21대,남,02-784-0712,의원회관 929호,juno3355@gmail.com,http:ss//blog.naver.com/junocheon,"이상철, 전준호","박은숙, 성세운","권혁모, 신택수, 김제식, 김나영, 이주혜"
윤영석,尹永碩,YOON YOUNGSEOK,음,1964-10-07,국민의힘,경남 양산시갑,3선,"제19대, 제20대, 제21대",남,02-784-4861,의원회관 941호,hangomy@assembly.go.kr,,"김정일, 장준명","백창현, 장호경","이정훈, 공유신, 김혜란, 방나래, 박태환, 라예지"
전해철,全海澈,JEON HAECHEOL,음,1962-05-18,더불어민주당,경기 안산시상록구갑,3선,"제19대, 제20대, 제21대",남,02-784-8901,의원회관 930호,sangrokgab@naver.com,http://blog.naver.com/jhc05,"박정대, 백수현","이상민, 최찬규","이재경, 정영미, 신유리, 오하나"
이헌승,李憲昇,LEE HUNSEUNG,음,1963-05-11,국민의힘,부산 부산진구을,3선,"제19대, 제20대, 제21대",남,02-784-7911,의원회관 425호,ilovebusanjin@hanmail.net,,"김병하, 김창수","최수정, 추인희","전효선, 박유미, 손추성, 최지희, 민근홍"
이상헌,李相憲,LEE SANGHEON,음,1954-07-10,더불어민주당,울산 북구,재선,"제20대, 제21대",남,02-784-8630~2,의원회관 1006호,leesh_2018@naver.com,https://blog.naver.com/leesh_2018,"김동원, 조영수","이도경, 이재관","정재령, 박지유, 김인화, 최명주, 조예슬"
주철현,朱哲鉉,JU CHEOLHYEON,음,1959-03-12,더불어민주당,전남 여수시갑,초선,제21대,남,02-784-6341~3,의원회관 536호,jassembly536@gmail.com,blog.naver.com/jjwc306,"김재민, 정송호","김일주, 유무성","신동식, 김준랑, 임선경, 박민라"
정점식,鄭点植,JEONG JEOMSIG,음,1965-07-15,국민의힘,경남 통영시고성군,재선,"제20대, 제21대",남,02-784-6327,의원회관 714호,jsjeong0403@naver.com,https://blog.naver.com/jsjeong0403,"김광섭, 최재호","박상준, 이병훈","이호준, 임장수, 양희숙, 윤현춘, 이예지"
윤관석,尹官石,YOUN KWANSUK,음,1960-08-17,더불어민주당,인천 남동구을,3선,"제19대, 제20대, 제21대",남,02-784-4380,의원회관 644호,winneryks@naver.com,http://blog.naver.com/winneryks,"박정우, 허남동","김광훈, 유달진","이유정, 조용석, 이연주, 성채린, 윤소현"
안규백,安圭伯,AHN GYUBACK,음,1961-04-29,더불어민주당,서울 동대문구갑,4선,"제18대, 제19대, 제20대, 제21대",남,02-784-4181,의원회관 807호,intoan429@gmail.com,http://www.safe100.or.kr,"성영준, 정재민, 한승환","김병기, 황집필","김준태, 김현빈, 김주완, 김혜원, 김명학"
이인영,李仁榮,LEE INYOUNG,음,1964-06-28,더불어민주당,서울 구로구갑,4선,"제17대, 제19대, 제20대, 제21대",남,02-784-6811~3,의원회관 801호,liy1964@empal.com,https://blog.naver.com/liy1964,"장백건, 황훈","최경, 홍성자","이혜린, 양명희, 이현석, 성정미, 김지한"
박재호,朴在昊,PARK JAEHO,양,1959-02-13,더불어민주당,부산 남구을,재선,"제20대, 제21대",남,02-784-5512,의원회관 737호,2016pjh@gmail.com,http://blog.naver.com/pjh0586,"김남원, 이수경","김미애, 노영명","김대평, 장수정, 이은제, 박찬, 도선호"
김회재,金會在,KIM HOIJAE,양,1962-11-24,더불어민주당,전남 여수시을,초선,제21대,남,02-784-3285 / 061-684-6600,의원회관 831호,khj539@naver.com,blog.naver.com/khj539,"송현종, 장용성","김지호, 조남웅","최종희, 서준원, 정재환, 박선미, 왕명희"
박찬대,朴贊大,PARK CHANDAE,음,1967-05-10,더불어민주당,인천 연수구갑,재선,"제20대, 제21대",남,02-784-5477,의원회관 815호,parkcd0214@gmail.com,http://blog.naver.com/starhanmia,"전기은, 한만송","김종호, 유광종","노원선, 양세미, 배진우, 박상현, 김우성"
유상범,劉相凡,YOO SANGBUM,음,1966-06-04,국민의힘,강원 홍천군횡성군영월군평창군,초선,제21대,남,02-784-4760,의원회관 736호,sbyoo64@naver.com,https://blog.naver.com/sbyoo64,"김원호, 최영수","김도형, 이세호","박동일, 황세원, 표인수, 장주영, 이재성"
최인호,崔仁昊,CHOI INHO,음,1966-10-15,더불어민주당,부산 사하구갑,재선,"제20대, 제21대",남,02-784-2195,의원회관 332호,,,"김수철, 이정환","손우정, 한영준","김영균, 김기완, 김소영, 이상백, 이다정"
정춘숙,鄭春淑,JUNG CHOUNSOOK,음,1964-01-08,더불어민주당,경기 용인시병,재선,"제20대, 제21대",여,02-784-3740,의원회관 630호,hopejung@na.go.kr,http://blog.naver.com/chounsook_jung,"김용천, 최대환","손정우, 이정훈","맹현, 강승림, 조은아, 이훈희, 이재정, 최희윤"
이철규,李喆圭,LEE CHULGYU,음,1957-09-20,국민의힘,강원 동해시태백시삼척시정선군,재선,"제20대, 제21대",남,02-784-9811,의원회관 939호,,,"윤준호, 이태훈","김영범, 이재용","김완기, 박상우, 이광희, 심다솔, 정가은"
고용진,高榕진,KOH YONGJIN,음,1964-08-06,더불어민주당,서울 노원구갑,재선,"제20대, 제21대",남,02-784-4840,의원회관 816호,gogoyongjin@naver.com,http://blog.naver.com/kohyj64,"여경훈, 홍진옥","김하동, 윤선희","박남문, 김진환, 유재선, 최승환, 노희재"
최형두,崔炯斗,CHOI HYUNGDU,음,1962-10-23,국민의힘,경남 창원시마산합포구,초선,제21대,남,784-1606,의원회관 426호,happyhappo@naver.com,https://blog.naver.com/choihd,"김기동, 김태호","권재욱, 정형기","김태환, 윤이진, 김봉준, 손예라, 최유림"
박완수,朴完洙,PARK WANSU,양,1955-08-26,국민의힘,경남 창원시의창구,재선,"제20대, 제21대",남,02-784-7773,의원회관 705호,wansu705@naver.com,,"이영일, 전정배","강석, 차형보","박정희, 최지윤, 박성준, 조승우, 김소영"
이만희,李晩熙,LEE MANHEE,음,1963-12-11,국민의힘,경북 영천시청도군,재선,"제20대, 제21대",남,02-784-5901,의원회관 819호,yc20002@naver.com,http://band.us/@yc20002,"강성우, 이재섭","김연준, 손영우","김무찬, 조성진, 서주연, 김준수, 손인숙"
김철민,金哲玟,KIM CHEOLMIN,음,1957-02-15,더불어민주당,경기 안산시상록구을,재선,"제20대, 제21대",남,02-784-2135,의원회관 1019호,kcm8764@naver.com,http://blog.naver.com/kcm8764,"김정훈, 이창민","전가영, 최성희","정주영, 김은혜, 이성범, 최신영, 이재희"
기동민,奇東旻,KI DONGMIN,음,1966-02-23,더불어민주당,서울 성북구을,재선,"제20대, 제21대",남,02-784-3181,의원회관 922호,gidongmin@naver.com,http://blog.naver.com/gidongmin,"김형식, 이지백","김두현, 문옥주","이유정, 송현직, 윤하은, 박찬호, 장도희"
곽상도,郭尙道,KWAK SANGDO,음,1959-12-23,국민의힘,대구 중구남구,재선,"제20대, 제21대",남,02-784-8450,의원회관 1014호,sangdokwak@na.go.kr,http://blog.naver.com/sangdokwak,"박대기, 서석만","신경환, 하은정","안지홍, 김가영, 안정호, 최유정, 김종헌"
김정재,金汀才,KIM JUNGJAE,음,1966-02-15,국민의힘,경북 포항시북구,재선,"제20대, 제21대",여,02-784-6831,의원회관 914호,lawjj@naver.com,,"박문태, 이상신","김선영, 김지훈, 이재양","김재원, 김기완, 김은지, 이현주, 정경애"
김영진,金榮鎭,KIM YOUNGJIN,음,1967-09-10,더불어민주당,경기 수원시병,재선,"제20대, 제21대",남,02-784-8410,의원회관 840호,youngjink840@naver.com,,"김경목, 노창식","윤석민, 이승협","김동준, 김혜원, 김혜선, 이유진"
김승원,金勝源,KIM SEUNGWON,음,1969-07-08,더불어민주당,경기 수원시갑,초선,제21대,남,02-784-5285,의원회관 723호,swkimsuwon@gmail.com,http://blog.naver.com/sw_with_suwon,"김동주, 한준택","문경식, 유용선","홍석준, 신지민, 황현정, 한관희, 박민준"
이수진,李秀眞,LEE SUJIN,음,1969-11-03,더불어민주당,서울 동작구을,초선,제21대,여,02-784-3174,의원회관 735호,sujinleehope@gmail.com,http://blog.naver.com/sujinleehope,"이재승, 허영일","강준우, 이수현","박선영, 홍혜린, 박상선, 허웅, 이호진"
임오경,林五卿,LIM OKYEONG,양,1971-12-11,더불어민주당,경기 광명시갑,초선,제21대,여,국회) 784-6396 광명) 2682-0415,의원회관 729호,lok0415@hanmail.net,https://blog.naver.com/oklim777,"김영민, 정용준","이지수, 최민","송유미, 노예영, 박지용, 김소희, 정수봉"
강대식,姜大植,KANG DAESIK,음,1959-11-02,국민의힘,대구 동구을,초선,제21대,남,,의원회관 341호,,,"박홍규, 정운태","유진영, 윤미라","박종원, 박순권, 김광연, 김현정, 송민욱"
김병주,金柄周,KIM BYUNGJOO,음,1962-02-07,더불어민주당,비례대표,초선,제21대,남,02-784-4177,의원회관 447호,kimbyungjoo62@gmail.com,https://bit.ly/3jeADHA,"곽병호, 김명기","김영환, 배성환","황동현, 이주현, 이원기, 이송은, 최보윤"
